landing,roiID,basin,ISO3,continent,initialDamage,subsequentDamage,initialResistance,reactRate,recoverRate,fullRecovery,lon,lat,preEVI,patchSize,coastDistM,speed,trackDist,localWind,bathymetry_mean,alphaDiversity_mean,canopyHeight_mean,stormFreq_mean,totalPrec_value,diversity
Alex2010_2010176N16278_2010062700,62,NAt,BLZ,North America,0.786688945,0,0.213311055,NA,0.774133861,Y,-88.06249473,17.37986534,0.268996462,2856638.717,268.8019134,12.69942857,19801.628,94.17381529,0.005425389,12,0,0.075000003,364.9151647,12
Alex2010_2010176N16278_2010062700,109,NAt,MEX,North America,0.338748224,0,0.661251776,NA,0.526367519,Y,-91.61533144,18.71386377,0.18995963,1890032.685,879.0093674,12.69942857,76630.1085,60.80194285,0.000216991,5,0.913385827,0,236.1267227,5
Alex2010_2010176N16278_2010062700,115,NAt,MEX,North America,0.084162188,0,0.915837812,NA,0.15284521,Y,-91.52699725,18.75728241,0.27114748,2834297.9,420.6204206,12.69942857,66702.62775,61.30637317,0.000385752,5,8.27129751,0,303.81839,5
Alex2010_2010176N16278_2010062700,117,NAt,MEX,North America,0.170900779,0,0.829099221,NA,0.033954033,Y,-91.47737624,18.48222684,0.232918023,6624097.48,1235.601623,12.69942857,89247.14284,61.77009379,0.000539063,5,3.043746495,0,1383.440457,5
Alex2010_2010176N16278_2010062700,120,NAt,MEX,North America,0.328395291,0,0.671604709,NA,0.297084018,Y,-91.41545706,18.51398856,0.191731441,3784509.35,853.4245988,12.69942857,83283.64272,62.17577259,0.000525051,5,0.512266928,0,696.6258288,5
Alex2010_2010176N16278_2010062700,123,NAt,MEX,North America,0.229861644,0,0.770138356,NA,0.064661006,Y,-91.33535666,18.53569797,0.234158739,2838044.042,137.1883925,12.69942857,77994.87732,62.70500751,0.000571818,5,0.391361257,0,582.9604232,5
Alex2010_2010176N16278_2010062700,128,NAt,MEX,North America,-0.043058445,-0.208591605,1.043058445,-0.018962873,0.135725982,Y,-91.29642976,18.45784398,0.454333761,946437.3507,9113.313438,12.69942857,79866.68353,62.9627738,0.000571818,5,6.850393701,0,225.8126377,5
Alex2010_2010176N16278_2010062700,133,NAt,MEX,North America,0.059067958,-0.021258263,0.940932042,-0.004251653,0.024877412,Y,-91.2694803,18.5297092,0.424589158,946040.3785,4155.510782,12.69942857,72829.99894,63.14898233,0.000586949,5,10.72047244,0,199.8709463,5
Alex2010_2010176N16278_2010062700,140,NAt,MEX,North America,0.370382481,0,0.629617519,NA,0.082972475,Y,-91.19761507,18.82615325,0.251066778,944387.143,8278.165482,12.69942857,42865.77054,63.31717405,0.000310469,5,0.177165354,0,219.9835505,5
Alex2010_2010176N16278_2010062700,144,NAt,MEX,North America,0.086637269,-0.026054398,0.913362731,-0.013027199,0.147660301,Y,-91.1279968,18.77674624,0.359633482,7557112.393,11704.30828,12.69942857,47133.43287,63.86588977,0.000225047,5,6.849852797,0,1668.985726,5
