sampleID,landing,roiID,year,lon,lat,basin,ISO3,continent,totalDamageDuration,initialDamage,totalDamage,initialResistance,subsequentDamage,reactionTime,reactionRate,recoveryTime,recoveryRate,fullRecovery,windSpeed,trackDist,sideTrack,travelSpeed,rainfall,stormFreq,coastalSlope,coastDist,preEVI,patchSize,canopyHeight,nSpecies
1085,Eloise2021_2021012S12086_2021011912,118,2021,46.99022508,-15.41762541,SI,MDG,Africa,2,0.201387174,0.201387174,0.798612826,0,0,NA,2,0.065839146,Y,101.86,74099.56635,0,21.16571429,248.2044995,0,0.003869213,835.0150132,0.407381591,961859.6221,7.649606299,5
2541,Jobo2021_2021108S11067_2021042412,1,2021,39.23776418,-7.799911797,SI,TZA,Africa,8,0,0.325449681,1,0.487394098,5,-0.09747882,7,0.060134589,Y,46.3,68474.27975,0,14.816,211.3561823,0,-0.000228553,10556.69947,0.387597427,988534.2671,11.4488189,3
1089,Eloise2021_2021012S12086_2021012212,58,2021,35.31931332,-19.53011269,SI,MOZ,Africa,1,0.134601874,0.134601874,0.865398126,0,0,NA,1,0.035391091,Y,148.16,71713.86606,0,19.13733333,1759.682061,0.025,0.001335284,1079.212907,0.286652713,4701776.874,0.728414443,2
750,Conson2021_2021248N11131_2021090612,101,2021,123.5356704,12.21455275,WP,PHL,Asia,1,0,0.352767267,1,0.421066189,1,-0.421066189,1,0.607393596,Y,92.6,29251.19304,0,16.4828,170.2999543,0.150000006,0.002795692,634.5615346,0.187526975,975178.3154,7.535433071,4
581,Choiwan2021_2021148N05142_2021060112,46,2021,122.0803997,13.82253711,WP,PHL,Asia,1,0,0.440286451,1,0.483758015,4,-0.120939504,1,0.577530545,Y,74.08,80568.24202,1,26.19257143,59.12301093,0.200000003,0.003915505,4693.806308,0.509000483,968870.6319,14.84251969,4
790,Conson2021_2021248N11131_2021090612,217,2021,125.3727252,12.29540124,WP,PHL,Asia,4,0,0.473253508,1,0.491772323,4,-0.122943081,1,0.554373767,Y,92.6,85328.20809,1,16.4828,240.0048358,0.25,0.003479489,84.44817589,0.466689835,1949758.945,0,4
4047,Notnamed2021_2021092N11096_2021040300,22,2021,98.48165717,13.42727839,NI,MMR,Asia,1,0,0.334331911,1,0.362333006,4,-0.090583251,1,0.519570354,Y,40.744,98802.05628,0,9.26,35.88832944,0,0.001164005,3603.557809,0.525970627,970492.0557,5.417322835,1
766,Conson2021_2021248N11131_2021090612,163,2021,124.5328004,12.07082231,WP,PHL,Asia,1,0,0.316946669,1,0.366029583,5,-0.073205917,1,0.511019736,Y,92.6,30788.41464,1,16.4828,180.3487272,0.275000006,0.002429617,316.4323055,0.458659897,975704.8062,1.125984252,4
732,Conson2021_2021248N11131_2021090612,48,2021,122.1387904,14.01567485,WP,PHL,Asia,2,0.294133687,0.387039511,0.705866313,0.092905823,1,-0.092905823,1,0.480025783,Y,92.6,73805.64861,1,16.4828,335.2809313,0.174999997,0.000388371,695.7398571,0.432014878,1936123.135,0,4
798,Conson2021_2021248N11131_2021090612,233,2021,125.5793379,11.11411649,WP,PHL,Asia,1,0,0.373473224,1,0.584887881,1,-0.584887881,1,0.472865767,Y,92.6,52862.72948,0,16.4828,183.492805,0.100000001,0.001295325,304.4429089,0.351894281,1958105.298,0.147637795,4
584,Choiwan2021_2021148N05142_2021060112,50,2021,122.098366,13.47219415,WP,PHL,Asia,1,0.032827639,0.334717332,0.967172361,0.301889692,4,-0.075472423,1,0.452369656,Y,74.08,56923.27282,1,26.19257143,78.64212279,0.200000003,0.00082114,1915.785727,0.577421306,970310.1276,19.83464567,4
4392,Rai2021_2021346N05145_2021121606,35,2021,119.3540128,10.9479283,WP,PHL,Asia,4,0.235907661,0.23717781,0.764092339,0.001270149,3,-0.000423383,1,0.449408129,Y,194.46,97233.26332,1,27.16266667,192.5281217,0,-0.004169755,1075.189971,0.456988987,1959212.813,6.231827112,4
