"landing","trackDist","coastDist","category","side","mangrovePxl","ID","stormName","stormYear","intensity","basin","preEVI","bathymetry_mean","center_centerLon","center_centerLat","totalPrec_total","elevation_mean","stormFrequency_mean","landingYear","landingMonth","landingDay","landingDOY","landingLat","landingLon","landingWindMax","landingSpeed","landingSpeed0","landingPressure","landingWindMaxRMW","landingCat","landingWindMaxLocal","landingWindMaxLocal2","ISO3Fixed","incomeFixed","continent","country","ISO3","income","region"
"Beta2005_2005300N10279_2005103012",50,5,"c3","wl",1,"2005300N10279","Beta",2005,0.301345104115209,"NAt",0.423537771089372,0.000500903184915227,-83.6562582646668,12.3358253487421,128.458511954663,2.5748031496063,0.142857149243355,2005,10,30,303,12.9,-83.5,146.6784,11.4685928535674,11.112,970,10,"h2",84.8402470126918,79.1059505859081,1,1,"North America","Nicaragua","NIC","LMC","Central America"
"Billy2008_2008351S11128_2008122000",5,5,"c3","wl",1,"2008351S11128","Billy",2008,0.245626433315772,"SI",0.133226050977941,-0.000344289693593315,128.130554116977,-14.8831273224606,751.771376675251,2.81233595800525,0.595238089561462,2008,12,20,355,-14.9,127.9,64.82,9.70167283133547,7.408,993,15,"TC",41.2849784323045,36.4341420166368,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Bondo2006_2006350S07071_2006122518",5,5,"c4","sr",6,"2006350S07071","Bondo",2006,0.210782332350885,"SI",0.168677116730577,-0.00335844304522038,46.3419457330214,-15.9371490826886,308.929129667843,6.10878112712975,0.142857149243355,2006,12,25,359,-16.3333,46.1667,83.34,22.033841454895,20.372,991,25,"TC",6.70192384453084,17.7188445719783,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Bondo2006_2006350S07071_2006122518",50,5,"c4","wl",6,"2006350S07071","Bondo",2006,0.254950577583405,"SI",0.367696117373412,0.000889802631578948,45.8448730940256,-15.7994094458344,15.1710557376637,10.7165354330709,0.309523820877075,2006,12,25,359,-16.3333,46.1667,83.34,22.033841454895,20.372,991,25,"TC",77.634225052953,66.6173043255055,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Bondo2006_2006350S07071_2006122518",55,10,"c4","wl",6,"2006350S07071","Bondo",2006,0.209560324412102,"SI",0.299925993598293,0.00185339168490153,45.7819910241219,-15.8892415306956,148.343667387495,8.41846758349705,0.309523820877075,2006,12,25,359,-16.3333,46.1667,83.34,22.033841454895,20.372,991,25,"TC",75.9990767422786,64.9821560148311,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Bondo2006_2006350S07071_2006122518",60,5,"c4","wl",6,"2006350S07071","Bondo",2006,0.22876882777168,"SI",0.370137657497782,0.00177586484312148,45.7370752599263,-15.8173757515358,76.4137875500847,8.31496062992126,0.309523820877075,2006,12,25,359,-16.3333,46.1667,83.34,22.033841454895,20.372,991,25,"TC",74.4057107579081,63.3887900304606,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Bopha2012_2012331N03157_2012120400",10,5,"c4","wl",2,"2012331N03157","Bopha",2012,0.631941454329697,"WP",0.383480076286957,0.112467666916729,126.58545083067,7.55678802242967,157.032160471,16.6574803149606,0.0238095242530107,2012,12,4,339,7.825,125.9,157.42,36.6460964422438,31.484,945,10,"h3",153.824155820914,135.501107599792,0,0,"Asia","Philippines","PHL","LMC","Southeastern Asia"
"Bopha2012_2012331N03157_2012120400",15,5,"c4","wl",2,"2012331N03157","Bopha",2012,0.610518062129602,"WP",0.462550473552729,0.119667488312792,126.585450830673,7.53882171671028,153.592389903349,19.6299212598425,0.0238095242530107,2012,12,4,339,7.825,125.9,157.42,36.6460964422438,31.484,945,10,"h3",155.588556091421,137.265507870299,0,0,"Asia","Philippines","PHL","LMC","Southeastern Asia"
"Bopha2012_2012331N03157_2012120400",50,5,"c4","sr",2,"2012331N03157","Bopha",2012,0.180559873331537,"WP",0.456010631097432,0.00301127891416555,126.37884401328,8.2215454047758,491.00764614928,25.4803149606299,0,2012,12,4,339,7.825,125.9,157.42,36.6460964422438,31.484,945,10,"h3",106.800992173083,125.124040394205,0,0,"Asia","Philippines","PHL","LMC","Southeastern Asia"
"Bopha2012_2012331N03157_2012120400",55,5,"c4","sr",2,"2012331N03157","Bopha",2012,0.197733455751985,"WP",0.34911336447578,0.0126207299270073,126.405790223959,8.24849418894274,450.084390617819,8.26968503937008,0,2012,12,4,339,7.825,125.9,157.42,36.6460964422438,31.484,945,10,"h3",102.577733774018,120.90078199514,0,0,"Asia","Philippines","PHL","LMC","Southeastern Asia"
"Carlos2011_2011045S14132_2011021600",25,10,"c1","wl",1,"2011045S14132","Carlos",2011,0.279183937322923,"SI",0.31371431343152,-0.000241054232133806,130.753633748992,-12.71818769706,1187.15310742995,14.098231827112,0.428571432828903,2011,2,16,47,-12.405,130.945,64.82,1.73014620133854,3.704,995,10,"TC",60.6886683704343,59.823595269765,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011021600",45,5,"c1","sr",1,"2011045S14132","Carlos",2011,0.294644090410045,"SI",0.306986287691518,0.000291930044702376,131.373404267224,-12.2061354430857,685.26529045853,7.40944881889764,0.404761910438538,2011,2,16,47,-12.405,130.945,64.82,1.73014620133854,3.704,995,10,"TC",53.9072215577542,54.7722946584234,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011021600",5,5,"c1","sr",1,"2011045S14132","Carlos",2011,0.243704124616678,"SI",0.266839619346953,-0.000817349685910858,130.951263111497,-12.3678450532197,550.896999703202,8.0748031496063,0.428571432828903,2011,2,16,47,-12.405,130.945,64.82,1.73014620133854,3.704,995,10,"TC",46.819213926308,47.6842870269773,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011022018",45,5,"c1","sr",2,"2011045S14132","Carlos",2011,0.324903232943659,"SI",0.0874047756323654,-0.000289020537124803,123.531178864667,-17.4343432651701,69.9441275129131,0.783464566929134,0.357142865657806,2011,2,20,51,-17.4,122.2,55.56,12.9565873385384,20.372,994,35,"TC",55.4442439045567,61.9225375738259,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011022018",65,5,"c1","sr",2,"2011045S14132","Carlos",2011,0.372233543248347,"SI",0.174282157676349,0.00126141684402554,122.399301606657,-18.0272313532307,100.977237009535,5.41338582677165,0.190476194024086,2011,2,20,51,-17.4,122.2,55.56,12.9565873385384,20.372,994,35,"TC",54.5944827617697,61.0727764310389,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011022018",70,5,"c1","wl",2,"2011045S14132","Carlos",2011,0.214704205015669,"SI",0.187374078082635,0.000562220155925899,123.207785362391,-16.4102638399745,70.462890512803,12.9291338582677,0.357142865657806,2011,2,20,51,-17.4,122.2,55.56,12.9565873385384,20.372,994,35,"TC",54.3383825048371,47.8600888355679,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011022300",30,5,"c1","sr",1,"2011045S14132","Carlos",2011,0.336723882056524,"SI",0.0978863149635374,0.000412341418857201,114.485143953584,-22.2313476230975,173.115396925982,2.33595284872299,0.309523820877075,2011,2,23,54,-22.1,114.1,92.6,16.4389211689984,14.816,978,10,"TC",84.2743025574306,92.4937631419298,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011022300",35,5,"c1","sr",1,"2011045S14132","Carlos",2011,0.354296427916161,"SI",0.0821917244652621,0.000238749880164893,114.44022818937,-22.3032121059185,93.8670992813858,2,0.309523820877075,2011,2,23,54,-22.1,114.1,92.6,16.4389211689984,14.816,978,10,"TC",81.8241035620994,90.0435641465986,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011022300",45,5,"c1","sr",1,"2011045S14132","Carlos",2011,0.318949988382614,"SI",0.0864581749792455,-0.00035955497382199,114.386346326914,-22.4229853920703,268.035369154986,1.90419947506562,0.309523820877075,2011,2,23,54,-22.1,114.1,92.6,16.4389211689984,14.816,978,10,"TC",77.5795347139322,85.7989952984314,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2011_2011045S14132_2011022300",50,5,"c1","sr",1,"2011045S14132","Carlos",2011,0.243365726727416,"SI",0.0904342275010854,-0.000692335115864528,114.398308364032,-22.4828738293351,261.816664063697,2.81364829396325,0.309523820877075,2011,2,23,54,-22.1,114.1,92.6,16.4389211689984,14.816,978,10,"TC",75.7423364166286,83.9617970011278,0,0,"Oceania","Australia","AUS","HIC","Australasia"
"Carlos2015_2015162N12262_2015061709",10,5,"c1","wl",2,"2015162N12262","Carlos",2015,0.215994533063683,"EP",0.402513642262234,0.0258507747318236,-105.215825083526,19.6481117725533,45.2560622009577,21.1889763779528,0.333333343267441,2015,6,17,168,19.3,-104.9,73.3392,16.4110297845559,18.52,998,10,"TC",70.5730732508119,62.367558358534,0,0,"North America","Mexico","MEX","UMC","Central America"
"Carlos2015_2015162N12262_2015061709",20,5,"c1","sr",2,"2015162N12262","Carlos",2015,0.182996193807323,"EP",0.478964191248983,0.0741428991905813,-104.604968733522,19.1540387499828,20.6260568749671,3.2755905511811,0.380952388048172,2015,6,17,168,19.3,-104.9,73.3392,16.4110297845559,18.52,998,10,"TC",66.2027925626703,74.4083074549482,0,0,"North America","Mexico","MEX","UMC","Central America"
"Carlos2015_2015162N12262_2015061709",25,5,"c1","sr",2,"2015162N12262","Carlos",2015,0.287724421993012,"EP",0.443239302086644,0.060858630952381,-104.560054926129,19.1450558678241,7.18872109955432,2.84872298624754,0.380952388048172,2015,6,17,168,19.3,-104.9,73.3392,16.4110297845559,18.52,998,10,"TC",60.2873428344092,68.4928577266871,0,0,"North America","Mexico","MEX","UMC","Central America"
