"sampleID","obs_std","pred_en","pred_en_upr","pred_en_lwr","pred_en_rcl","pred_en_upr_rcl","pred_en_lwr_rcl","obs","Y","scale","pred_en_OOB","pred_en_OOB_lwr","pred_en_OOB_upr","pred_en_OOB_rcl","pred_en_OOB_upr_rcl","pred_en_OOB_lwr_rcl"
55,0.461833068619366,0.150481886482711,0.941759332966727,-0.640795560001306,0.263279441930161,0.375158120875054,0.184764931601048,0.302644664,"damage","log10",-0.546229067279473,-1.31437776973829,0.221919635179342,0.192752514857026,0.271832898260624,0.136677834881069
56,-0.542353590296629,-0.0151950718328437,0.77531941221639,-0.805709555882077,0.244464041409159,0.348228326974558,0.171619201864831,0.193087124,"damage","log10",0.131679140203771,-0.651245825993011,0.914604106400552,0.261073225508829,0.370626356373611,0.183902811835853
57,0.0905750521787605,0.322631224952481,1.11334485977417,-0.468082409869211,0.284365509996181,0.405102327180563,0.199613129448514,0.256314455,"damage","log10",0.682176834445076,-0.101848394529845,1.46620206342,0.334010676818281,0.474403810137415,0.235164916142412
58,-0.575492158398665,-0.609972339733897,0.184693843488349,-1.40463852295614,0.187331379163491,0.267341628185935,0.131266671252891,0.190244585,"damage","log10",-0.418917192481046,-1.1983986568072,0.360564271845107,0.204054016775636,0.289234313127953,0.143959550690832
59,-0.8906886691538,-0.642437544821023,0.148684918662111,-1.43356000830416,0.184629204984195,0.263067791805029,0.129578551213749,0.165214755,"damage","log10",0.831892289923058,0.0597976620456242,1.60398691780049,0.357157634735922,0.504578631241258,0.252808121771542
60,0.189967145171542,-0.274977643337731,0.51615754646639,-1.06611283314185,0.217631671360614,0.310092920027474,0.152739844479576,0.267973309,"damage","log10",-0.835177806228383,-1.62788630865617,-0.042469303800597,0.169370688530271,0.24149814808951,0.118785300674792
61,0.0880632418029346,0.0454344809828768,0.835934460624652,-0.745065498658899,0.251188243230907,0.357804335510867,0.176340885996651,0.256026482,"damage","log10",0.348728442679579,-0.433321631695057,1.13077851705422,0.287706273306151,0.408275432611902,0.202742788539024
62,-0.523702887385665,-0.478514350161189,0.312781720591215,-1.26981042091359,0.198683356969029,0.283114760464855,0.139431360878774,0.19470557,"damage","log10",0.520639521330495,-0.28074003912717,1.32201908178816,0.310715554003334,0.44475813890534,0.217071138343231
63,-0.061243522334065,-0.137442556403183,0.65312571381486,-0.928010826621226,0.231448428861802,0.329696092830104,0.162478040800443,0.239477511,"damage","log10",-0.108629051183444,-0.888125953666309,0.670867851299421,0.234452356222399,0.332324429651523,0.165404353197489
64,-0.476725246714552,-0.351975897195628,0.440532613482984,-1.14448440787424,0.210259805127236,0.29977329233089,0.14747539818639,0.198842507,"damage","log10",-0.196239786981017,-0.977698795783487,0.585219221821453,0.225437446528205,0.319826974459686,0.15890480277036
65,-1.66029954456618,-0.833145677002631,-0.0408230935722482,-1.62546826043301,0.169524795748836,0.241676137841444,0.118913917734564,0.117074597,"damage","log10",0.0681126439802028,-0.67686172908352,0.813087017043925,0.253750654764082,0.354164341866853,0.181806543408053
66,-0.956757192460184,-0.962581491812107,-0.171482278364817,-1.7536807052594,0.159983543921345,0.227949200683634,0.112282623711216,0.160401106,"damage","log10",-0.78953839426837,-1.57652850731369,-0.00254828122305029,0.172865768528893,0.245851630419469,0.121547186317615
67,0.081721443847344,0.0228706209191343,0.81441332826916,-0.768672086430891,0.248664427562773,0.354374630154015,0.174487653103858,0.255300849,"damage","log10",-0.153325881134914,-0.931938688084536,0.625286925814708,0.229809013948433,0.325613863670803,0.162192672930366
68,-0.591071925987453,-0.271098090207549,0.51988736169658,-1.06208354211168,0.218009867234301,0.310610977088535,0.15301552655034,0.188922693,"damage","log10",-0.513592565610576,-1.25723506948501,0.230049938263858,0.195588572999954,0.272823810110031,0.140218296462945
69,-0.513877739862727,-0.706502484798821,0.0854040427529441,-1.49840901235059,0.179410706266987,0.255721963812466,0.125871868975729,0.195563612,"damage","log10",-0.510712789899191,-1.28575050208125,0.26432492228287,0.195840815313847,0.277041072643827,0.138440212408869
70,-0.776368550260337,-0.357774330627997,0.433169194349972,-1.14871785560597,0.209714876718039,0.298787028831408,0.147196247738312,0.173887663,"damage","log10",0.0478034654986676,-0.720842256706487,0.816449187703822,0.251454700565822,0.354697661139028,0.178262992300544
71,-0.447301302703519,-0.155348880727945,0.635792245614569,-0.946490007070459,0.229601043239502,0.327148372555583,0.16113984809052,0.201478284,"damage","log10",-0.0310376713127826,-0.785724024245047,0.723648681619482,0.242736857384271,0.340267965969279,0.17316111954574
72,-0.817299208782703,-0.77886330315194,0.0122274486158923,-1.56995405491977,0.173693623662003,0.24748278334434,0.121905348295928,0.170731338,"damage","log10",-0.976851460403111,-1.77613004836075,-0.177572872445472,0.158965074078464,0.227328700569187,0.111160160215146
73,-1.57326544845258,-1.53849953293594,-0.746748804898045,-2.33025026097383,0.123633580857008,0.176208088931528,0.0867455200735196,0.121724819,"damage","log10",-1.11569102216666,-1.87351250631417,-0.357869538019153,0.149388109594737,0.209705941059683,0.106419528104537
74,-0.709202968805728,-0.922779808307909,-0.131829522576483,-1.71373009403934,0.162858865653368,0.232030576856624,0.114308254029342,0.179194004,"damage","log10",-0.857821430637076,-1.63004224850751,-0.0856006127666441,0.167662949977282,0.236881173753447,0.118670742590727
