sampleID,landing,stormID,stormName,stormYear,category,landingLat,landingLon,basin,continent,ISO3,region,cellCenterLat,cellCenterLon,damage,windSpeed,windSpeed5day,travelSpeed,rainfall,coastalSlope,coastDist
84,Cook2017_2017097S12171_2017041006,2017097S12171,Cook,2017,c3,-21.55,165.7,SP,Oceania,NCL,Melanesia,-21.65642311,165.4914835,0.263048881,132.6430071,46.56502352,24.13462772,192.1224255,0.004495965,5
85,Cook2017_2017097S12171_2017041006,2017097S12171,Cook,2017,c3,-21.55,165.7,SP,Oceania,NCL,Melanesia,-21.77595846,165.949658,0.323509066,134.2585492,45.73075461,24.13462772,130.4351939,-0.003368605,5
86,Cook2017_2017097S12171_2017041006,2017097S12171,Cook,2017,c3,-21.55,165.7,SP,Oceania,NCL,Melanesia,-21.93789721,166.105335,0.316057455,105.1286241,44.09740111,24.13462772,206.127254,0.006972448,5
87,Cook2017_2017097S12171_2017041006,2017097S12171,Cook,2017,c3,-21.55,165.7,SP,Oceania,NCL,Melanesia,-21.74625736,165.7070815,0.354370008,160.098067,47.1566673,24.13462772,174.8172419,-0.003289662,5
88,Cook2017_2017097S12171_2017041006,2017097S12171,Cook,2017,c3,-21.55,165.7,SP,Oceania,NCL,Melanesia,-21.75074912,165.67564,0.236385151,136.7056439,47.06583334,24.13462772,348.8946804,-0.003221585,5
89,Damien2020_2020034S17129_2020020807,2020034S17129,Damien,2020,c3,-20.5677,116.671,SI,Oceania,AUS,Australasia,-20.74014209,116.5961849,0.214689413,144.3817568,72.13630287,17.20875414,93.18959342,0.000212607,5
90,Damien2020_2020034S17129_2020020807,2020034S17129,Damien,2020,c3,-20.5677,116.671,SI,Oceania,AUS,Australasia,-20.72217721,116.9375447,0.411489125,143.7400201,70.19280145,17.20875414,42.59506444,0.001065385,5
91,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.58809974,-87.73460965,0.357170677,227.0771004,55.56358076,30.78644209,81.44499102,0.125891463,5
92,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.5431835,-87.73460965,0.407910166,212.3874557,54.64268764,30.78644209,166.889107,0.127000157,5
93,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.83962802,-87.64477813,0.522382897,250.3762074,55.12168009,30.78644209,70.59905931,0.134998643,5
94,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.5072511,-87.74359375,0.464159431,196.1629579,53.61383623,30.78644209,173.9843258,0.114953634,5
95,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.96539216,-87.82444118,0.33851286,193.9639805,51.46990185,30.78644209,58.55227661,0.114929116,15
96,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.46233453,-87.75856598,0.343406973,176.9157409,52.36888494,30.78644209,268.9469677,0.09903836,5
97,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.94742585,-87.62681182,0.472670923,205.4469263,52.31293138,30.78644209,71.95401774,0.114929116,5
98,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.00132477,-87.78850857,0.30485946,187.0153852,50.99429095,30.78644209,62.29232706,0.112142707,10
99,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.01479941,-87.81096524,0.201029185,181.5217998,50.64881397,30.78644209,237.3694152,0.112142707,15
100,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.01929107,-87.84240749,0.201902771,177.5407839,50.41849438,30.78644209,57.92536163,0.112142707,20
101,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.41741936,-87.75257596,0.280998196,161.7370692,51.38870736,30.78644209,142.1298173,0.15052902,5
102,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.98934599,-87.60285761,0.401744006,189.785306,51.32808171,30.78644209,335.9686842,0.112142707,5
103,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.06720166,-87.77054097,0.349106393,170.8361056,49.90378237,30.78644209,129.0852237,0.228572096,10
104,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.02827396,-87.58189703,0.354990643,177.4851745,50.52922468,30.78644209,153.7428662,0.228572096,5
105,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.39047037,-87.77054227,0.425282009,152.5199978,50.74941093,30.78644209,96.12156562,0.081395879,5
106,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.07318999,-87.5549466,0.5151208,165.213385,49.70850392,30.78644209,57.65224532,0.315384165,5
107,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.1091213,-87.5549466,0.447392348,158.1230507,49.173031,30.78644209,217.23759,0.28346851,5
108,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.74979649,-87.89630641,0.492882284,231.5324764,53.8437442,30.78644209,72.26682125,0.079988952,10
109,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.71386388,-87.69867704,0.494262053,16.89662776,41.37262525,30.78644209,73.73269709,0.079988952,5
110,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.1720044,-87.56392877,0.255464013,147.6604909,48.33601652,30.78644209,163.6611639,0.113975635,5
111,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.21080732,-87.84240749,0.510022234,111.371598,47.70899017,30.78644209,157.8738831,0.028792806,5
112,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.20614071,-87.54775879,0.301067283,141.8356543,47.88765767,30.78644209,403.9241068,0.013377002,5
113,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,18.17487471,-87.84240749,0.299956319,106.1606092,47.28723071,30.78644209,75.27258587,0.056212858,5
114,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.24686472,-87.5369816,0.300244205,135.9112683,47.40112249,30.78644209,251.5688216,0.001874662,5
115,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.39658349,-87.53698029,0.49698068,119.6116161,45.90143075,30.78644209,70.44199542,0.001612863,5
116,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,17.97724617,-87.93223902,0.08738694,82.4644751,45.13544172,30.78644209,251.5808053,0.13130223,5
117,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,17.95029563,-87.95918939,0.117950714,79.67417926,44.85572861,30.78644209,156.5803009,0.158052388,5
118,Dean2007_2007225N12331_2007082108,2007225N12331,Dean,2007,c5,18.7,-87.7,NAt,North America,MEX,Central America,19.49539856,-87.44714677,0.131507552,109.7960418,44.96922141,30.78644209,128.0816704,0.040879239,5
